,id,normalize,posicionamento
0,"1,17658888166956E+018",eu não sinto nem um pingo de vergonha com o discurso paranóico e falacioso do presiloko quero vêlo exposto ao mundo para que todos saibam o que fizeram com o brasil sorry,esquerda
1,"1,18312982928312E+018", alíquota para as 40 famílias norteamericanas mais abastadas foi de 23 em 2018 enquanto os demais pagaram 244 segun…,neutro
2,"1,13278746241629E+018", a equipe vermelha,neutro
3,"1,18248342907563E+018",só queria ser fofinha com o giovani igual começo de namoro,neutro
4,"1,18193696127731E+018",curso relâmpago de marxismo para manuela dávila ,esquerda
5,"1,18223471091271E+018", atençãoo politz trouxe para vocês todos os vídeos que foram proibidos pelo tribunal de contas da união da campanha d…,neutro
6,"1,18317183128664E+018", jaden smith no lolapaloza ,neutro
7,"1,18205983415964E+018", a nossa campanha gratuita continua abaixo mais um vídeo para vocês compartilharemtculiberepacoteanticrime euapoi…,neutro
8,"1,1820026667734E+018", pode vir com tudo,neutro
9,"1,18315952716583E+018",qual o problema de vcs“rachel é patricinha filha de médico” a mulher saiu de casa no 1º ep foi trabalhar como garçonete tendo tudo oq ela queria e até a 10ª temp foi a personagem que mais evoluiu de patricinha p uma puta executiva feminista respeita minha personagem ,neutro
10,"1,17981395742455E+018",310 1418 hänsel o melhor grupo num trabalho de engenharia é ficar sozinho desprezo do joão pelo estudante de engenharia não cansa de me suprender,neutro
11,"1,18193615774098E+018",marcou como tenho perseguição skob,neutro
12,"1,18202698004217E+018",“a pior parte de ter uma doença mental é que as pessoas esperam que você se comporte como se não tivessecoringa 2019,neutro
13,"1,18316429738976E+018", os isentões são os liberais mesmo que se digam conservadoresé importante identificálos corretamente,esquerda
14,"1,18665777265552E+018",monja lembrou visita que fez ao expresidente na prisão em curitiba ,neutro
15,"1,17326485974147E+018", e o nosso ana use sua influência para nos ajudar 😔,neutro
16,"1,18082566128139E+018", alcançamos a meta deste ano para privatizações e concessões   menos estado menos cargos nas mãos de pol…,direita
17,"1,18310680153913E+018", o trecho não tem nada a ver com o tema em pautae arma alguma é parea para ministro de deus se teme não faça o mal,direita
18,"1,17952257585412E+018", olha que interessante,neutro
19,"1,18210807972016E+018",Eu apoio o pacote anti crime ,direita
20,"1,09696963492059E+018",give us what we wantcatfamily catmommywhiskers caturday ,neutro
21,"1,18316545500084E+018",ajude a divulgar a revolta popular contra ditadura neoliberal do governo do equador que a imprensa brasileira tenta esco…,esquerda
22,"1,0805967452671E+018", kk que situação mano,neutro
23,"1,18314079736291E+018", isso é coisa de gente pequena infelizmente essas pessoas mandam no braziu,neutro
24,"1,16528297430213E+018",Esquerdistas seguem esquerdistas impeachment do bolsonaro lula livre sabados ,esquerda
25,"1,18173225910525E+018", ane with an e ❤️,neutro
26,"1,18299534608511E+018",qual o problema do presidente incentivar uma criança a ser policial queriam que ele incentivasse a ser bandido é muito mimimi pra tentar atingir o presidente o brasil vai dar ceo não adianta torcerem contra,direita
27,"1,18311267356479E+018", nikita chanandler m bong,neutro
28,"1,1813162693222E+018", vai toma no cu mundo boa noite,neutro
29,"1,1826973014852E+018", que droga vocês usam meu irmão ,neutro
30,"1,18309477281634E+018",a verdade vencerá lulalivre ,esquerda
31,"1,1567508619657E+018", perceberam sua irrelevância,neutro
32,"1,18320102222066E+018", a realidade é que eles vão te encher de palavras bonitase no fim vão embora como todos os outros,neutro
33,"1,18195713662193E+018", esse pessoal só tá aí pra atrasar atrapalhar o desenvolvimento do país “veta” q proposta dela veta 🤨,neutro
34,"1,18312240435009E+018", fdase o lacre do tênis enfia no c,neutro
35,"1,17914456553991E+018", só tem colesterol quem faz exame,neutro
36,"1,17662855647616E+018", sim,neutro
37,"1,18137752290848E+018", achei essa foto tão linda caramba 👏🏽👏🏽👏🏽,neutro
38,"1,1714547380024E+018", quando vejo matérias que fulano perdeu 20 mil em golpe on line eu me pergunto como que gente burra tem 20 mil onde to erra…,neutro
39,"8,67555700788146E+017", estão brigando pelo interesse do povo ou pelos seus próprios interesses af,neutro
40,"1,18321039699338E+018", alnavío maduro está preso en el palacio de miraflores mientras guaidó se mueve libre por venezuela ,neutro
41,"1,18277187376089E+018", simples assim ,neutro
42,"1,18276392399868E+018",aglomeração obstrução e importunação com estas acusações a polícia de washington nos eua prendeu jane fonda atriz de 81 anos com outras 16 pessoas que estavam protestando pela preservação do meio ambiente o autoritarismo não tem fronteiras,neutro
43,"1,16977092725885E+018", quiero agradecerle a diego maradona el ofrecimiento que hace mucho estaba esperando lamentablemente el 179 en basilea s…,neutro
44,"1,18285484273538E+018",de película ,neutro
45,"1,17605485830417E+018", para de drama,neutro
46,"1,18270533238625E+018", esse aí já bloquei faz tempo 🤣,neutro
47,"1,18271215990783E+018", a prisão após 2º instância sempre foi aceita no brasil até políticos começarem a ser presos o stf a proibiu em 209 mensalão…,direita
48,"1,17880060112953E+018", é muito importante saber o que fazem os senadores quer saber mais sobre o senado confira htp…,neutro
49,"1,18279421595011E+018", mod ,neutro
50,"1,18269002670405E+018", this elizabeth warren answer was quite a moment at cn equalitytownhal ,neutro
51,"1,18681765478445E+018",em vez de fraudar flexões o presidente poderia estar trabalhando para limpar o litoral nordestino ,esquerda
52,"1,17832473504375E+018", ok tu realmente nunca vai superar o fato de eu ser consideravelmente baixinhaentaovamo sim,neutro
53,"1,1757825138826E+018", rip meu cruzeraun,neutro
54,"1,16065305353772E+018", presidente o senhor consegue falar paralelepípedos com o seu problema na língua,neutro
55,"1,181925380934E+018",quando a fama e a riqueza sobem a cabeçaelon musk diz ser “um grande idiota” por chamar mergulhador que ajudou no resgate na tailândia de “pedófilo” ,neutro
56,"1,18280282879396E+018",im enjoying the dors  roadhouse blues on classic rock chanel on ,neutro
57,"1,18088641456262E+018", fundadores da democracia americana temiam influência estrangeira via ,neutro
58,"1,18320157575969E+018", q belíssimo nome amiga ,neutro
59,"1,1812705569661E+018", existem pessoas q surtam por qualquer coisa e pessoas q chora por tudo qndo fica triste e existe eu q faço os dois,neutro
60,"1,18318111130176E+018",algum amg pfv venha na minha casa p invadirmos a festa do meu vizinho,neutro
61,"1,18316467804803E+018",eu com qualquer cachorro ,neutro
62,"1,18200039252528E+018",você vai para as ruas se manifestar pelo impeachment e depois a fraquejada boicota os votosa reforma desidratada essa pasa para que a esquerda maldita possa no futuro roubar cada centavo economizado blindados pela lei de abuso de autoridade,direita
63,"1,17577661960629E+018", nem aqui eu tenho pas,neutro
64,"1,18200296613338E+018", continuem usando a caixa2dobolsonaro porque os bolsominions não estão gostando e eu quero é gastrite atacada,neutro
65,"1,18267362878315E+018", que se fodam os dois mas é bom ver o doria se ferrar pelo menos um pouco,esquerda
