,Unnamed: 0,tags,text,classificacao,pos
3089,3089,1, chupa seu porco a cana e doce e dura viu safado,1,1
4695,4695,0,bolsonaro e homofobico racista e misogino se voce tem amigo negro uma linda filha ou um familiar gay think aboutodoscompablovitar,1,0
1839,1839,1,nenhum partido politico e maior do que o brasilninguem esta acima da leiforcahonra ,1,1
2315,2315,1,alem do sonho e preciso agir criar as proprias oportunidades superar os obstaculos persistir ate conseguir o sucesso vem para quem o merece para quem nao se deixa abater e continua confiando em si,1,1
3007,3007,1, yjcxqunlz8 15 rs,1,1
3850,3850,1, so ler os comentarios e hilario ,1,1
4641,4641,1, pessoal o governador de mg e o prefeito da minha cidade estao querendo fechar 3 escolas estaduais daqui e queria pedir,1,1
5071,5071,1, video sexo por notas cameras escondidas expoem professores assediadores na nigeria e em gana ,1,1
1623,1623,1, come on whats with the side kick he sure doesnt walk like a stable genius ,1,1
612,612,1,o governo bem que tenta mas a resistencia a censura e mais forte ,1,1
4795,4795,1,qual o pai ou mae acha normal um presidente carregando uma crianca com uma arma na mao como se fosse um trofeu pera ai gente isso nao pode ser tratado como normal,0,0
4098,4098,1,foi tarde sucuri idiota ,1,1
4829,4829,1,para as mais beijinho para as recalcada ,1,1
2753,2753,1,o sonho dos esquerdopatas continua sendo so um sonho ,0,2
1367,1367,1,fogaca juliana seu prato me surprendeu n positivamenteu masterchef ,1,1
1764,1764,1, silencio o jovem esta descobrindo o brisadeiro ,1,1
559,559,2,2 o brasil e o quarto colocado no ranking mundial absoluto e o terceiro pais da america latina com maior indice de casamentos de meninas com menos de 18 anos as mulheres representam menos de 30 dos pesquisadores em todo o mundo diadamenina,0,1
295,295,1, psol pede a pgr investigar uso de milicias digitais por familia bolsonaro ,0,0
4617,4617,1, tudo o que o homem plantar ele mesmo colheraquem planta amor colhe amornobelparalula ,0,0
1293,1293,1,english speaking practice via ,1,1
493,493,1,o laranjal pode derrubar bolsonaro a censura esta de volta comenta silvio santos e o assedio infantil em tv aberta terceiro episodio de cafecomboulos,0,0
1334,1334,1,e gratificante ver a linda cia folclorica matutos do reino de carutapera levando o nome da nossa cidade para todo o estado parabens a todos os envolvidos tudo muito bem feito meus sinceros aplausos em sao ,1,1
4444,4444,1,agora sim da pra encher a cara ,1,1
4849,4849,1, odeio sair com gente q so fala de faculdade q tudo q vai falar bota um autor no meio meu filha vamo falar do et bilu ma,1,1
3863,3863,1,novafotodoperfil ,1,1
3389,3389,1,rio muito com as mina do busao achando que eu to secando os namorados delaspior e que nem de homem eu gosto,1,1
4009,4009,1,azedou,1,1
1224,1224,1, virei assinante recentemente que ap e esse usado pra ver a rentabilidade,1,1
193,193,1,educacao educacao e educacao ideia exemplo e militanciaas criancas que melhor aprenderam a ler e escrever no brasil vivem no sertao do sertao do nordeste ,0,0
4404,4404,1, eba maravilhosa  ,1,1
2243,2243,1, feliz amigoantes tarde do que nuncae melhor nao saber definir um sentimento hojeque nao saber definir a dor enquanto o caixao se fecha,1,1
4292,4292,1, relaxa ta muito bom eu tenho problema com atencao e sua didatica pra podcast consegue prender minha atencao no caso evandro entao,1,1
667,667,1, so me diz o lugar flor,1,1
2880,2880,1, que onda com os doce,1,1
4524,4524,1, temos o dragao do tradicionalismo a direita e violenta e injusta estao fuzilando o papa o sinodo o concilio vaticano segundo,0,0
4287,4287,1,no caso do boy da terra plana eu gritei termina so depois percebi que tava trabalhando e todo mundo ficou me olhando k comentando met gala e recomendando divas poderosas para ouvir ,1,1
1979,1979,1, que pressao politica e muita incompetencia ele e nojento,1,1
2294,2294,1, bolsonaro toma uma sonora vaia em aparecida do norte ,1,1
285,285,1,dudu bolsonaro queria ser embaixador dos eua e terminou correndo desesperado da imprensa com a palavra ,0,0
2388,2388,1, bom dia,1,1
3313,3313,1, deferiascelebs gente serio que esse cara que saiu do mar e esse cara do insta muito diferente ,1,1
4611,4611,1, guerra com o psl impulsiona ataques contra bolsonaro nas redes no ,1,1
5607,5607,1, referente ao trabalho gostei muito pois e uma forma correta de usar as redes sociais com isso o feminismo ganhou forcacom isso podemos promover cada vez mais o engajamentopresencainic ,0,0
3648,3648,1, deve ser amigo ou parente de frota se aliou para se eleger ou tava convicto mesmo so deve ter se arrependido como muitos hoje so nao da o braco a torcer rssr,1,1
37,37,2,notempodolula mensalao petrolao bndes financiando ditaduras triplex no guaruja sitio de atibaia indicacao de advogado para o stf escandalo dos correiossigo esperando a esquerda citar isso tambem,1,2
1039,1039,1, se ta com sono vaza do twiter e vai dormir ora porra,1,1
104,104,1,obrigado ao publico pela excelente audiencia e obrigado a toda equipe do programa pelos excelentes programas sem voces eu nao poderia dizer que hoje de noite tem mais the noite ,1,1
4582,4582,1, a melhor deste ano foi quando vc chamou o paulo guedes de tchutchuca k cara ficou pistola k,0,0
257,257,0,meu professor no correio do povo de hoje ,0,1
4606,4606,1, muito menos ela ne,1,1
1710,1710,1,kleber diaz sobrenatural ,1,1
5064,5064,0, dia das criancas e os pais abandonando os filhos so porque sao feios ,0,1
5515,5515,1, rip seu ultimo neuronio deve ter falecido,1,1
751,751,1, forte abraco paulo kogos ,1,1
64,64,1, 35 milhoes de brasileiros sem acesso a agua tratada metade da populacao sem coleta de esgoto do que e coletado so 45,1,1
4663,4663,1, sdv,1,1
4304,4304,0,em um momento da historia brasileira em que a educacao laica e os professores estao sendo atacados ,1,0
1763,1763,1, a barata vai me matar k,1,1
2644,2644,1, top das galaxias este pr bsnr,1,1
1949,1949,0, que bom agora sabemos q as informacoes foram obtidas pelo hacker antes de se comunicar com intercept ou manuela ou seja,0,1
3155,3155,1, suhahsuhau sim,1,1
3953,3953,1, tem algm que ta precisando ou conhece algm que esteja precisando de um armario de cozinha ele e pequeno estilo balcao e ta,1,1
3748,3748,1, podia fazer uma materia eim nunca ouvi falar disso,1,1
4898,4898,1, eu so sou sobrio,1,1
5324,5324,1, sai fora careca dos infernos lula e muito respeitado aqui e la fora coisa que seu presidente fake nunca sera,0,0
3584,3584,1, hj 5 mortos no alemao e mare na terca 4 mortos no jacarezinho policiais em helicopteros fuzilando pessoas moradores,1,1
2944,2944,1, bicho outro dia tava ouvindo o podcast e fui seco pra pegar un link e uma info do que tavam falando nao tinha podcastesfera deixou a gente malacostumadao quebra essas camaradas,1,1
2408,2408,1,o filme egipcio laltra par durou 3 minutos ganhou o premio de melhor curtametragem no festival de cinema o diretor tem 20 anos descreve ele como as pessoas se isolam na tecnologia e esquecem das melhores coisas da vida como convivencia humana com o amor e a irmandade ,1,1
2298,2298,1, que as palavras de reprovacao ao odio proferidas em aparecida abram os olhos dos que foram por ele enganados e fortal,1,1
