,tags,text
0,2, a e a desarticularam organizacao criminosa responsavel por fraudar licitacao do programa viva
1,1, encontro com empresarios chineses e presidente da fiesp na china oportunidade de bilhoes de dolares de investimento na area de agricultura infraestrutura e outros 
2,0,a camara aprovou 329x86 o acordo de salvaguardas tecnologicas da base de alcantara no maranhao apos decadas de atraso e abandono damos um grande passo para o desenvolvimento tecnologico social e economico na regiao medida deve gerar bilhoes p o brasil seguimos avancando 
3,1, hotel imperial despedida de tokio obrigado japao 
4,1, em cadeia nacional de radio e tv o ministro anunciou que o vai cobrar explicacoes da venezuela sobre o ole
5,1, buscamos sempre parcerias onde visamos agregar valor aos nossos produtos 
6,1,no grandioso japao nos reunimos com empresarios de grandes corporacoes como o chamado grupo de notaveis entre outros importantes compromissos mostrando o novo brasil crescendo gerando empregos e oportunidades com liberdade e seguranca ao investidor podemos muito mais 
7,2, na america do sul estamos vivendo um momento dificil em q a esquerda radical desesperada pela derrota vai jogar todas a
8,1, agora a pouco estive com o principe charles por 30 minutos muito educado e respeitador conversamos sobre varios assuntos entre eles o desenvolvimento da nossa amazonia 
9,1, o na pavimentacao de estradas trabalho bem feito e respeito ao dinheiro publico nossos parabens aos militares de engenharia e ao nosso 
10,2,a deflagra a 67a fase da lava jato a operacao tango amp cash objetiva investigar a atuacao de possivel cartel de empreiteiras cujo objetivo era vencer licitacoes de grandes obras ligadas a empresas estatais
11,2, apenas com a expectativa da aprovacao da nova previdencia a bolsa atingiu sua marca historica dois dias seguidos a te
12,1,judiciario quer mais de r10 milhoes pra bancar luxo 
13,1, defender pautas populares pra sempre ganhar elogio e palmas por ai e facilo mbl nao foi feito para ganhar palmas mas para de
14,1, apos forte pressao dos motoristas de aplicativo e articulacao que fizemos com outros vereadores da camara municipal c
15,1,kim obstrui extincao do coaf 
16,0,plenario do stf suspenso sao 2 votos a favor da prisao apos a segunda instancia e 1 contra continuamos atentos prisaoem2instanciasim
17,1, investir em saneamento e deixar que milhares de pessoas parem de sofrer por doencas que ja foram erradicas destaca 
18,1, saiba como um povo sedento por justica conseguiu tirar a maior quadrilha do poder isso e muito mais voce encontra disponivel e
19,1,embate na discussao sobre saneamento 
20,1,o stf julga hoje a prisao em segunda instancia decisao pode beneficiar lula e mais 38 condenados pela lava jato alem disso as entidades divergem se sao 190 mil ou 85 mil presos que serao soltos estou com a maioria do povo pela manutencao da prisao em segunda instancia
21,1,deputado nao pode ter medo de ser coveiro
22,1,todos esses nomes em um so lugar e no congresso do mbl compre seu ingresso em 
23,1,quando voce exagera no cafe com energetico pra aguentar madrugada de estudos manha de sessao 
24,2,defendo essa proposta desde 2016 fui um dos parlamentares que mais defendeu a reforma no plenario de acordo com o aplicativo parla e votei contra todas as desidratacoes do projetoagora vai 
25,1, senado finalmente aprovou a reforma da previdencia com um impacto de pelo menos r 80 bilhoes em 10 anos e uma vitoria para
26,2,aprovada em definitivo a reforma da previdencia no senado
27,2,deputado do pt nao le regimento e indicia proprios aliados 
28,1,agradeco ao e ao por terem votado contra essa punicao
29,1,moralidade seletiva fazer rachadinha empregar a esposa no gabinete do amigo ter chefe de gabinete preso tudo bem falar a palavra q comeca com vaga e termina com bundo ai ja e demais
30,1, verdade tem ate acerto de plural depois vai emboradesatando os nossos lacos
31,1,qualquer letra de funk erros de plural erros de concordancia verbal produtos e marcas variadas alguma novinha vai sentar em alguma coisafim
32,0,assembleia do rio terra de sergio cabral condenado a 267 anos de prisaotrf2 condenando expresidente e 2 exdeputados por corrupcao25 gabinetes na mira do mp por rachadinhahoje soltaram 5 deputados presos pela lava jato rj nao merece isso
33,0, nos deputados favoraveis ao indiciamento de lula e dilma entregaremos o resultado de nossas investigacoes a pgr nao ter rel
34,0,a cpi do bndes aprovou o relatorio sem indiciamento de lula e dilmainda falta a votacao dos destaques 3 deles pedem a volta dos petistas ao relatorioconvenhamos da pra falar de maracutaia no bndes sem citar pt lula e dilma
35,1, debate sobre candidaturas avulsas mudanca de partido expulsao com  e michel bertoni 
36,0,a entrou na justica para derrubar a pagina de humor tabata amaral ancap do faceboka pagina era otima e tinha 10 mil seguidores mas ja esta fora do are o politicamente correto e a cacada contra o humor que infelizmente estamos tao habituados
37,2,notempodolula mensalao petrolao bndes financiando ditaduras triplex no guaruja sitio de atibaia indicacao de advogado para o stf escandalo dos correiossigo esperando a esquerda citar isso tambem
38,1, hoje e no na que comeca as 19 horas acompanhe htps
39,1,pra onde foi a grana do bndes1  angola 163 bilhoes2  venezuela 138 bilhoes3  rep dominicana 107 bilhoes4  argentina 85 bilhoes5  cuba 35 bilhoesdinheiro dos pagadores de impostos brasileiro que poderia ter ido pra educacao saude ou seguranca
40,1,apos mudar portaria para que membros pudessem viajar em classe executiva o presidente do cjf vou a alemanha com ministros do stj e nao divulgou os gastos e a quantidade de autoridades que tiveram bilhete executivotodo dia o judiciario dando um tapa na cara do brasileiro
