,id,normalize
0,1187382544645443585, a e a desarticularam organização criminosa responsável por fraudar licitação do programa viva…
1,1187363478018899968, encontro com empresários chineses e presidente da fiesp na china oportunidade de bilhões de dólares de investimento na área de agricultura infraestrutura e outros 
2,1187319816102862849,a câmara aprovou 329x86 o acordo de salvaguardas tecnológicas da base de alcântara no maranhão após décadas de atraso e abandono damos um grande passo para o desenvolvimento tecnológico social e econômico na região medida deve gerar bilhões p o brasil seguimos avançando 
3,1187173961538441216, hotel imperial despedida de tokio obrigado japão 
4,1187172269937827841, em cadeia nacional de rádio e tv o ministro anunciou que o vai cobrar explicações da venezuela sobre o óle…
5,1187103346924150784, buscamos sempre parcerias onde visamos agregar valor aos nossos produtos 
6,1187090431160532994,no grandioso japão nos reunimos com empresários de grandes corporações como o chamado grupo de notáveis entre outros importantes compromissos mostrando o novo brasil crescendo gerando empregos e oportunidades com liberdade e segurança ao investidor podemos muito mais 
7,1187074754232102918, na américa do sul estamos vivendo um momento difícil em q a esquerda radical desesperada pela derrota vai jogar todas a…
8,1187046871614873600, agora a pouco estive com o príncipe charles por 30 minutos muito educado e respeitador conversamos sobre vários assuntos entre eles o desenvolvimento da nossa amazônia 
9,1187027113414713346, o na pavimentação de estradas trabalho bem feito e respeito ao dinheiro público  nossos parabéns aos militares de engenharia e ao nosso  
10,1186967735634448384,a deflagra a 67a fase da lava jato a operação ‘tango amp cash’ objetiva investigar a atuação de possível cartel de empreiteiras cujo objetivo era vencer licitações de grandes obras ligadas a empresas estatais
11,1186799006694936576, apenas com a expectativa da aprovação da nova previdência a bolsa atingiu sua marca histórica dois dias seguidos a te…
12,1187143711244861442,judiciário quer mais de r10 milhões pra bancar luxo 
13,1187134144876351489, defender pautas populares pra sempre ganhar elogio e palmas por aí é fácilo mbl não foi feito para ganhar palmas mas para de…
14,1187121382838210560, após forte pressão dos motoristas de aplicativo e articulação que fizemos com outros vereadores da câmara municipal c…
15,1187104631412928512,kim obstrui extinção do coaf 
16,1187086250714513408,plenário do stf suspenso são 2 votos a favor da prisão após a segunda instância e 1 contra continuamos atentos prisaoem2instanciasim
17,1187047409555259393, “investir em saneamento é deixar que milhares de pessoas parem de sofrer por doenças que já foram erradicas” destaca 
18,1187034738126737408, saiba como um povo sedento por justiça conseguiu tirar a maior quadrilha do poder isso e muito mais você encontra disponível e…
19,1187031531879092224,embate na discussão sobre saneamento 
20,1187022959845822464,o stf julga hoje a prisão em segunda instância decisão pode beneficiar lula e mais 38 condenados pela lava jato além disso as entidades divergem se são 190 mil ou 85 mil presos que serão soltos estou com a maioria do povo pela manutenção da prisão em segunda instância
21,1187013979606061056,deputado não pode ter medo de ser coveiro
22,1187011719224270848,todos esses nomes em um só lugar é no congresso do mbl compre seu ingresso em 
23,1186973704124805120,quando você exagera no café com energético pra aguentar madrugada de estudos  manhã de sessão 
24,1186776381901955072,defendo essa proposta desde 2016 fui um dos parlamentares que mais defendeu a reforma no plenário de acordo com o aplicativo parla e votei contra todas as desidratações do projetoagora vai 🇧🇷
25,1186775733731020800, senado finalmente aprovou a reforma da previdência com um impacto de pelo menos r 80 bilhões em 10 anos é uma vitória para…
26,1186775518978424833,aprovada em definitivo a reforma da previdência no senado
27,1186743430082375680,deputado do pt não lê regimento e indicia próprios aliados 
28,1187373495166132224,agradeço ao e ao por terem votado contra essa punição
29,1187371236172713986,moralidade seletiva fazer rachadinha empregar a esposa no gabinete do amigo ter chefe de gabinete preso tudo bem falar a palavra q começa com vaga e termina com bundo aí já é demais
30,1187004574969847808, verdade tem até acerto de plural depois vai emboradesatando os nossos laços
31,1186999675485917196,qualquer letra de funk erros de plural erros de concordância verbal produtos e marcas variadas alguma novinha vai sentar em alguma coisafim
32,1186733412155047936,assembleia do rio •terra de sérgio cabral condenado a 267 anos de prisão•trf2 condenando expresidente e 2 exdeputados por corrupção•25 gabinetes na mira do mp por rachadinhahoje soltaram 5 deputados presos pela lava jatoo rj não merece isso
