,id,normalize,posicionamento
0,"1,17658888166956E+018","['eu', 'nao', 'sinto', 'nem', 'um', 'pingo', 'de', 'vergonha', 'com', 'o', 'discurso', 'paranoico', 'e', 'falacioso', 'do', 'presiloko', 'quero', 'velo', 'exposto', 'ao', 'mundo', 'para', 'que', 'todos', 'saibam', 'o', 'que', 'fizeram', 'com', 'o', 'brasil', 'sorry']",esquerda
1,"1,18312982928312E+018","['aliquota', 'para', 'as', '40', 'familias', 'norteamericanas', 'mais', 'abastadas', 'foi', 'de', '23', 'em', '2018', 'enquanto', 'os', 'demais', 'pagaram', '24', 'segun']",neutro
2,"1,13278746241629E+018","['a', 'equipe', 'vermelha']",neutro
3,"1,18248342907563E+018","['so', 'queria', 'ser', 'fofinha', 'com', 'o', 'giovani', 'igual', 'comeco', 'de', 'namoro']",neutro
4,"1,18193696127731E+018","['curso', 'relampago', 'de', 'marxismo', 'para', 'manuela', 'davila']",esquerda
5,"1,18223471091271E+018","['atencao', 'politz', 'trouxe', 'para', 'voces', 'todos', 'os', 'videos', 'que', 'foram', 'proibidos', 'pelo', 'tribunal', 'de', 'contas', 'da', 'uniao', 'da', 'campanha', 'd']",neutro
6,"1,18317183128664E+018","['jaden', 'smith', 'no', 'lolapaloza']",neutro
7,"1,18205983415964E+018","['a', 'nossa', 'campanha', 'gratuita', 'continua', 'abaixo', 'mais', 'um', 'video', 'para', 'voces', 'compartilharemtculiberepacoteanticrime', 'euapoi']",neutro
8,"1,1820026667734E+018","['pode', 'vir', 'com', 'tudo']",neutro
9,"1,18315952716583E+018","['qual', 'o', 'problema', 'de', 'vcsrachel', 'e', 'patricinha', 'filha', 'de', 'medico', 'a', 'mulher', 'saiu', 'de', 'casa', 'no', '1o', 'ep', 'foi', 'trabalhar', 'como', 'garconete', 'tendo', 'tudo', 'oq', 'ela', 'queria', 'e', 'ate', 'a', '10a', 'temp', 'foi', 'a', 'personagem', 'que', 'mais', 'evoluiu', 'de', 'patricinha', 'p', 'uma', 'puta', 'executiva', 'feminista', 'respeita', 'minha', 'personagem']",neutro
10,"1,17981395742455E+018","['310', '1418', 'hansel', 'o', 'melhor', 'grupo', 'num', 'trabalho', 'de', 'engenharia', 'e', 'ficar', 'sozinho', 'desprezo', 'do', 'joao', 'pelo', 'estudante', 'de', 'engenharia', 'nao', 'cansa', 'de', 'me', 'suprender']",neutro
11,"1,18193615774098E+018","['marcou', 'como', 'tenho', 'perseguicao', 'skob']",neutro
12,"1,18202698004217E+018","['a', 'pior', 'parte', 'de', 'ter', 'uma', 'doenca', 'mental', 'e', 'que', 'as', 'pessoas', 'esperam', 'que', 'voce', 'se', 'comporte', 'como', 'se', 'nao', 'tivessecoringa', '2019']",neutro
13,"1,18316429738976E+018","['os', 'isentoes', 'sao', 'os', 'liberais', 'mesmo', 'que', 'se', 'digam', 'conservadorese', 'importante', 'identificalos', 'corretamente']",esquerda
14,"1,18665777265552E+018","['monja', 'lembrou', 'visita', 'que', 'fez', 'ao', 'expresidente', 'na', 'prisao', 'em', 'curitiba']",neutro
15,"1,17326485974147E+018","['e', 'o', 'nosso', 'ana', 'use', 'sua', 'influencia', 'para', 'nos', 'ajudar']",neutro
16,"1,18082566128139E+018","['alcancamos', 'a', 'meta', 'deste', 'ano', 'para', 'privatizacoes', 'e', 'concessoes', 'menos', 'estado', 'menos', 'cargos', 'nas', 'maos', 'de', 'pol']",direita
17,"1,18310680153913E+018","['o', 'trecho', 'nao', 'tem', 'nada', 'a', 'ver', 'com', 'o', 'tema', 'em', 'pautae', 'arma', 'alguma', 'e', 'parea', 'para', 'ministro', 'de', 'deus', 'se', 'teme', 'nao', 'faca', 'o', 'mal']",direita
18,"1,17952257585412E+018","['olha', 'que', 'interessante']",neutro
19,"1,18210807972016E+018","['eu', 'apoio', 'o', 'pacote', 'anti', 'crime']",direita
20,"1,09696963492059E+018","['give', 'us', 'what', 'we', 'wantcatfamily', 'catmomywhiskers', 'caturday']",neutro
21,"1,18316545500084E+018","['ajude', 'a', 'divulgar', 'a', 'revolta', 'popular', 'contra', 'ditadura', 'neoliberal', 'do', 'governo', 'do', 'equador', 'que', 'a', 'imprensa', 'brasileira', 'tenta', 'esco']",esquerda
22,"1,0805967452671E+018","['k', 'que', 'situacao', 'mano']",neutro
23,"1,18314079736291E+018","['isso', 'e', 'coisa', 'de', 'gente', 'pequena', 'infelizmente', 'essas', 'pessoas', 'mandam', 'no', 'braziu']",neutro
24,"1,16528297430213E+018","['esquerdistas', 'seguem', 'esquerdistas', 'impeachment', 'do', 'bolsonaro', 'lula', 'livre', 'sabados']",esquerda
25,"1,18173225910525E+018","['ane', 'with', 'an', 'e']",neutro
26,"1,18299534608511E+018","['qual', 'o', 'problema', 'do', 'presidente', 'incentivar', 'uma', 'crianca', 'a', 'ser', 'policial', 'queriam', 'que', 'ele', 'incentivasse', 'a', 'ser', 'bandido', 'e', 'muito', 'mimimi', 'pra', 'tentar', 'atingir', 'o', 'presidente', 'o', 'brasil', 'vai', 'dar', 'ceo', 'nao', 'adianta', 'torcerem', 'contra']",direita
27,"1,18311267356479E+018","['nikita', 'chanandler', 'm', 'bong']",neutro
28,"1,1813162693222E+018","['vai', 'toma', 'no', 'cu', 'mundo', 'boa', 'noite']",neutro
29,"1,1826973014852E+018","['que', 'droga', 'voces', 'usam', 'meu', 'irmao']",neutro
30,"1,18309477281634E+018","['a', 'verdade', 'vencera', 'lulalivre']",esquerda
31,"1,1567508619657E+018","['perceberam', 'sua', 'irrelevancia']",neutro
32,"1,18320102222066E+018","['a', 'realidade', 'e', 'que', 'eles', 'vao', 'te', 'encher', 'de', 'palavras', 'bonitase', 'no', 'fim', 'vao', 'embora', 'como', 'todos', 'os', 'outros']",neutro
33,"1,18195713662193E+018","['esse', 'pessoal', 'so', 'ta', 'ai', 'pra', 'atrasar', 'atrapalhar', 'o', 'desenvolvimento', 'do', 'pais', 'veta', 'q', 'proposta', 'dela', 'veta']",neutro
34,"1,18312240435009E+018","['fdase', 'o', 'lacre', 'do', 'tenis', 'enfia', 'no', 'c']",neutro
35,"1,17914456553991E+018","['so', 'tem', 'colesterol', 'quem', 'faz', 'exame']",neutro
36,"1,17662855647616E+018",['sim'],neutro
37,"1,18137752290848E+018","['achei', 'essa', 'foto', 'tao', 'linda', 'caramba']",neutro
38,"1,1714547380024E+018","['quando', 'vejo', 'materias', 'que', 'fulano', 'perdeu', '20', 'mil', 'em', 'golpe', 'on', 'line', 'eu', 'me', 'pergunto', 'como', 'que', 'gente', 'burra', 'tem', '20', 'mil', 'onde', 'to', 'erra']",neutro
39,"8,67555700788146E+017","['estao', 'brigando', 'pelo', 'interesse', 'do', 'povo', 'ou', 'pelos', 'seus', 'proprios', 'interesses', 'af']",neutro
40,"1,18321039699338E+018","['alnavio', 'maduro', 'esta', 'preso', 'en', 'el', 'palacio', 'de', 'miraflores', 'mientras', 'guaido', 'se', 'mueve', 'libre', 'por', 'venezuela']",neutro
41,"1,18277187376089E+018","['simples', 'assim']",neutro
42,"1,18276392399868E+018","['aglomeracao', 'obstrucao', 'e', 'importunacao', 'com', 'estas', 'acusacoes', 'a', 'policia', 'de', 'washington', 'nos', 'eua', 'prendeu', 'jane', 'fonda', 'atriz', 'de', '81', 'anos', 'com', 'outras', '16', 'pessoas', 'que', 'estavam', 'protestando', 'pela', 'preservacao', 'do', 'meio', 'ambiente', 'o', 'autoritarismo', 'nao', 'tem', 'fronteiras']",neutro
43,"1,16977092725885E+018","['quiero', 'agradecerle', 'a', 'diego', 'maradona', 'el', 'ofrecimiento', 'que', 'hace', 'mucho', 'estaba', 'esperando', 'lamentablemente', 'el', '179', 'en', 'basilea', 's']",neutro
44,"1,18285484273538E+018","['de', 'pelicula']",neutro
45,"1,17605485830417E+018","['para', 'de', 'drama']",neutro
46,"1,18270533238625E+018","['esse', 'ai', 'ja', 'bloquei', 'faz', 'tempo']",neutro
47,"1,18271215990783E+018","['a', 'prisao', 'apos', '2o', 'instancia', 'sempre', 'foi', 'aceita', 'no', 'brasil', 'ate', 'politicos', 'comecarem', 'a', 'ser', 'presos', 'o', 'stf', 'a', 'proibiu', 'em', '209', 'mensalao']",direita
48,"1,17880060112953E+018","['e', 'muito', 'importante', 'saber', 'o', 'que', 'fazem', 'os', 'senadores', 'quer', 'saber', 'mais', 'sobre', 'o', 'senado', 'confira', 'htp']",neutro
49,"1,18279421595011E+018",['mod'],neutro
50,"1,18269002670405E+018","['this', 'elizabeth', 'warren', 'answer', 'was', 'quite', 'a', 'moment', 'at', 'cn', 'equalitytownhal']",neutro
51,"1,18681765478445E+018","['em', 'vez', 'de', 'fraudar', 'flexoes', 'o', 'presidente', 'poderia', 'estar', 'trabalhando', 'para', 'limpar', 'o', 'litoral', 'nordestino']",esquerda
52,"1,17832473504375E+018","['ok', 'tu', 'realmente', 'nunca', 'vai', 'superar', 'o', 'fato', 'de', 'eu', 'ser', 'consideravelmente', 'baixinhaentaovamo', 'sim']",neutro
53,"1,1757825138826E+018","['rip', 'meu', 'cruzeraun']",neutro
54,"1,16065305353772E+018","['presidente', 'o', 'senhor', 'consegue', 'falar', 'paralelepipedos', 'com', 'o', 'seu', 'problema', 'na', 'lingua']",neutro
55,"1,181925380934E+018","['quando', 'a', 'fama', 'e', 'a', 'riqueza', 'sobem', 'a', 'cabecaelon', 'musk', 'diz', 'ser', 'um', 'grande', 'idiota', 'por', 'chamar', 'mergulhador', 'que', 'ajudou', 'no', 'resgate', 'na', 'tailandia', 'de', 'pedofilo']",neutro
56,"1,18280282879396E+018","['im', 'enjoying', 'the', 'dors', 'roadhouse', 'blues', 'on', 'classic', 'rock', 'chanel', 'on']",neutro
57,"1,18088641456262E+018","['fundadores', 'da', 'democracia', 'americana', 'temiam', 'influencia', 'estrangeira', 'via']",neutro
